Nest | ---,(o) <DM> (e) | mag,<Dist> | Mpc,Abell | ---,GName | ---,Npv | ---,PGC1 | ---,GLON GLAT | deg deg,SGLON | deg,SGLAT | deg,logLKs | [Lsun],CF | ---,sigP | km/s,R2t | Mpc,<HV> | km/s,<Vgsr> | km/s,<Vls> | km/s,<Vcmb> | km/s,<Vcmba> | km/s,sigma | km/s,Mvir | TMsun,Mlum | TMsun,LDC | ---,HDC | ---,2M++ | ---,MK2011 | ---,Icnt | ---
100002,161 31.01 0.02,15.9,,Virgo,197,41220,284.09 74.41,103.0008,-2.3248,12.94,1,707,1.92,1156,1098,1064,1485,1491,670,934.667,705.333,852,716,0,5066891,1
200009,113 36.33 0.04,184.4,A3716,,52,66047,345.81 -39.39,224.6483,17.2124,14.21,9.9,1950,5.295,14072,14028,13998,13924,14434,916,4746.667,14800.001,0,0,3385,0,2834
100010,112 36.45 0.04,194.7,A3558,,55,47202,312.07 30.45,149.1678,-1.3439,14.18,7.95,1908,5.18,14414,14263,14192,14697,15265,1002,4946.667,13866.667,0,0,2182,0,2551
100001,106 34.92 0.04,96.5,A1656,Coma,136,44715,58.99 88.14,89.6226,8.1461,13.4,1.65,1045,2.839,6926,6940,6926,7195,7331,886,2120,2280,890,734,1952,0,2493
100007,99 35.86 0.04,148.7,A2147,,86,56962,30.43 44.46,108.5182,49.0878,13.77,3.3,1385,3.761,11180,11283,11273,11270,11603,1261,7080,5306.667,0,0,2138,0,2652
100006,69 33.67 0.05,54.3,A1060,Hydra,85,31478,269.60 26.41,139.4478,-37.6063,12.73,1.14,588,1.597,3712,3490,3424,4055,4099,648,585.333,406.667,712,592,1122,5066799,487
100003,66 33.04 0.04,40.5,A3526,Centaurus,113,43296,302.20 21.74,156.2336,-11.5868,13,1.12,746,2.027,3550,3361,3285,3834,3873,822,1440,830.667,881,722,1107,5066908,441
200015,65 31.36 0.03,18.7,,Fornax,49,12651,236.82 -54.80,262.8089,-40.9336,12.33,1,414,1.123,1457,1326,1319,1357,1362,301,107.333,141.333,391,235,2,5066701,843
100004,62 35.47 0.06,124.3,A2199,,81,58265,63.86 43.84,71.5103,49.7851,13.41,2.26,1057,2.871,9177,9348,9369,9202,9424,740,1880,2360,1134,936,1858,0,2642
200007,61 35.83 0.06,146.9,A0496,,54,15524,209.07 -36.70,296.2707,-55.3232,13.28,2.37,954,2.591,9904,9794,9803,9851,10106,529,914.667,1733.333,307,294,3653,0,2181
100008,49 31.10 0.04,16.6,,UrsaMajor,56,37617,145.77 66.08,66.3257,2.3928,12.05,1,324,0.88,908,968,982,1114,1117,140,73.467,67.867,852,699,0,5066850,102
200016,48 35.49 0.06,125.2,A2634,,36,71985,103.70 -33.26,319.4263,23.6029,13.1,2.28,816,2.217,9413,9611,9680,9066,9282,663,650.667,1086.667,1523,1243,3850,0,2935
200001,44 34.14 0.06,67.4,A0426,Perseus,180,12429,150.36 -13.41,347.7159,-14.0594,13.25,1.24,931,2.529,5370,5480,5547,5209,5281,962,2173.333,1613.333,229,214,0,0,2121
100040,43 36.42 0.07,192.2,A1644,,17,44257,304.69 45.18,133.6096,-4.344,13.63,7.13,1243,3.376,14011,13875,13811,14339,14880,739,1826.667,3840,852,0,2781,0,0
200043,40 36.30 0.06,182.4,A0119,,18,3342,125.82 -63.94,295.5067,-0.6583,13.44,4.83,1077,2.924,13152,13232,13279,12822,13254,785,770.667,2493.333,0,0,3134,0,2022
200030,38 36.71 0.08,219.3,,,22,3099295,324.51 -11.47,192.2449,5.6887,14.07,8.71,1747,4.744,14606,14471,14407,14671,15237,1610,10106.667,10653.333,0,0,4254,0,0
100021,38 35.79 0.07,144,A1736,,26,47071,313.24 34.55,145.2401,0.198,13.24,2.97,924,2.508,10460,10319,10250,10750,11053,690,1274.667,1573.333,935,782,1889,0,2541
200031,37 35.28 0.07,113.8,A4038,,22,72441,24.82 -76.17,264.7112,6.4631,12.81,2.03,632,1.716,8523,8543,8556,8224,8401,449,313.333,504,1532,1248,3333,0,2941
200003,37 34.12 0.06,66.8,A0262,,63,6962,136.65 -25.08,334.9977,-2.0249,12.7,1.19,573,1.556,4884,5029,5101,4630,4687,520,376,376,127,103,4351,0,2044
200103,36 36.14 0.08,169.1,A2593,,11,71343,93.62 -43.32,305.4873,25.1163,13.06,4.41,788,2.14,12670,12846,12907,12303,12700,624,902.667,977.333,0,0,0,0,2934
200017,36 35.29 0.07,114.1,A0539,,43,75312,195.75 -17.62,337.0636,-57.1412,13.04,1.93,774,2.103,8709,8632,8653,8712,8911,754,996,926.667,380,346,0,0,2211
200011,36 34.21 0.07,69.4,A0194,,43,5324,142.77 -63.00,297.1729,-8.0829,12.57,1.26,511,1.388,5321,5380,5425,5016,5083,460,261.333,266.667,95,78,3814,0,2061
200014,35 36.14 0.08,168.8,,A0548-2,11,17813,230.27 -24.92,261.8358,-71.1988,13.07,4.89,795,2.157,12923,12739,12721,12993,13436,396,170.667,1001.333,0,0,3728,0,2225
100024,34 36.02 0.08,160.3,A3571,,24,48896,316.40 28.45,151.6144,2.1539,13.32,3.89,982,2.668,11768,11626,11555,12033,12413,729,1168,1893.333,0,0,1877,0,2556
200005,34 33.92 0.06,60.7,,Pisces,48,4224,127.31 -30.01,328.9346,5.4694,12.66,1.22,553,1.503,5132,5296,5368,4838,4900,432,292,338.667,79,56,4355,0,2041
200012,33 34.84 0.07,92.9,A0400,,44,11188,170.03 -44.92,312.1102,-27.2311,12.79,1.58,621,1.685,7303,7321,7365,7095,7227,628,672,477.333,215,193,3802,0,2092
100046,30 35.77 0.08,142.7,A2063,,19,54913,12.74 49.67,117.7452,37.8247,12.95,2.9,714,1.94,10465,10513,10488,10625,10921,737,1230.667,728,0,0,2315,0,2613
100012,30 33.74 0.08,55.9,AS753,,43,50100,319.41 26.74,153.5729,4.6472,12.61,1.18,532,1.445,4178,4043,3972,4428,4480,386,220,301.333,985,828,1279,0,2591
100005,28 34.73 0.06,88.4,A1367,Leo,61,36487,234.22 73.06,92.0255,-10.495,13.03,1.58,766,2.08,6536,6482,6458,6863,6987,707,720,897.333,811,669,1934,0,2453
100036,26 36.45 0.09,195.4,A1631,,18,43547,303.22 47.65,130.9534,-4.7198,13.62,7.12,1233,3.349,14005,13873,13810,14338,14879,733,1626.667,3746.667,0,0,2839,0,0
200028,25 36.19 0.10,173,AS574,,26,18618,252.20 -25.99,222.4885,-59.2162,13.54,4.41,1164,3.16,12741,12520,12481,12837,13270,1078,2480,3146.667,0,0,3860,0,0
200018,25 35.06 0.09,102.9,A2870,A2877,32,4149,293.91 -70.57,251.7068,-13.6204,12.76,1.6,605,1.641,6968,6886,6876,6778,6899,593,694.667,441.333,70,54,3467,0,2071
200027,24 35.92 0.10,152.9,,J34,25,15931,213.94 -34.91,291.6031,-58.849,13.11,2.81,824,2.236,10829,10702,10706,10800,11106,791,1400,1116,344,0,3918,0,2182
100011,24 33.96 0.08,62,A3574,,45,49025,317.11 30.81,149.3252,3.0111,12.75,1.23,597,1.621,4597,4461,4391,4866,4929,440,257.333,425.333,956,807,1282,0,2543
200085,22 36.53 0.11,201.9,AS861,,12,64509,345.63 -34.33,219.6868,19.0537,13.48,9.1,1110,3.015,14783,14736,14701,14657,15222,550,566.667,2733.333,0,0,3387,0,0
200192,21 35.89 0.09,150.9,,J10,8,18592,240.30 -22.63,233.9238,-69.4691,12.69,3.21,568,1.544,11381,11172,11142,11483,11829,255,150.667,366.667,0,0,0,0,2271
200006,21 34.03 0.07,64.1,,NGC507,47,5098,130.71 -28.80,330.6255,2.7526,12.63,1.19,539,1.464,4853,5010,5082,4571,4626,424,257.333,313.333,79,73,4352,0,2042
100058,20 36.16 0.10,170.5,A1139,,15,33000,251.61 52.92,106.1791,-27.3005,13.05,4.09,781,2.121,11895,11755,11712,12261,12656,326,164,952,0,0,2708,0,2412
200019,20 35.41 0.11,120.6,,,32,66039,34.65 -35.25,254.7961,46.7346,12.82,2.09,637,1.731,8466,8586,8601,8176,8351,377,300,517.333,1375,1127,3988,0,0
200092,20 33.35 0.07,46.7,,Pegasus,16,71121,87.34 -48.45,298.0557,25.0155,12.05,1.08,323,0.877,3389,3551,3605,3019,3043,306,102.533,67.333,1507,1226,4334,0,2932
100491,20 28.44 0.04,4.9,,,3,46153,107.66 74.49,76.1665,13.7581,11.03,1,131,0.357,554,624,629,760,762,73,0,4.533,852,699,0,5066946,0
100533,19 36.33 0.10,184.3,A0957,,4,29807,242.80 42.87,104.5009,-38.851,13.13,7.31,842,2.285,14064,13902,13861,14421,14968,654,0,1190.667,0,0,0,0,2411
200051,19 36.28 0.11,180.3,A3407,,16,20122,259.72 -17.89,203.0592,-56.3958,13.28,4.47,954,2.591,12733,12494,12443,12882,13318,572,937.333,1733.333,0,0,4124,0,2311
100350,19 27.96 0.04,3.9,,,6,46957,307.91 17.07,161.8581,-7.1143,12.01,1,312,0.847,532,351,275,783,785,163,23.6,60.667,391,793,0,5066940,240
100233,18 36.69 0.10,218,A3566,,7,3811057,313.55 26.49,153.2607,-0.585,13.25,9.78,934,2.536,15066,14913,14840,15333,15952,565,1013.333,1626.667,0,0,2178,0,0
200026,18 36.64 0.12,213.2,A3395,,26,19085,264.01 -24.99,212.1414,-50.3047,14.04,10.32,1703,4.625,15424,15194,15144,15531,16166,1251,9106.667,9866.667,0,0,3615,0,0
230014,18 35.94 0.11,154.2,,A0548S,11,17613,230.44 -25.88,261.8135,-70.2259,13.02,3.54,758,2.057,11546,11363,11345,11610,11964,366,174.667,869.333,0,0,3728,0,2225
120002,18 32.59 0.08,33,,VirgoW,39,40001,282.33 67.21,108.6316,-6.8673,12.36,1.03,426,1.157,2204,2116,2074,2550,2567,331,144,154.667,852,716,1,5066881,56
101368,18 27.85 0.04,3.7,,,3,28630,142.14 40.93,41.1548,0.5536,9.88,1.02,50,0.135,-2,111,154,79,79,27,0,0.243,852,673,0,5066767,217
100115,17 36.40 0.10,190.2,A1983,,10,53274,19.13 59.95,106.2747,32.2619,13.14,5.58,847,2.3,13299,13351,13331,13486,13964,426,348,1213.333,0,0,2887,0,2575
200110,17 35.11 0.11,105.4,AS301,,11,10707,229.17 -63.77,269.0597,-32.5398,12.18,1.55,362,0.984,6944,6850,6853,6785,6906,354,149.333,95.067,208,183,3665,0,2111
200004,17 33.79 0.11,57.2,AS805,PavoII,66,62407,332.38 -23.26,205.2602,11.1286,12.76,1.23,605,1.641,4474,4373,4320,4448,4501,473,385.333,441.333,1259,1034,4555,0,2753
100055,16 36.37 0.11,187.6,,A1736b,15,47150,312.53 35.05,144.6676,-0.3125,13.46,6.28,1094,2.971,13620,13479,13410,13913,14422,991,2426.667,2613.333,0,0,2363,0,2542
200065,16 35.72 0.11,139.2,A0260,,14,6796,137.01 -28.21,331.9095,-2.6637,12.92,2.89,696,1.891,10970,11111,11181,10708,11009,589,548,674.667,0,0,3849,0,2043
200024,16 34.99 0.11,99.6,A3389,,26,18906,274.71 -27.48,211.0305,-40.4176,12.82,1.86,637,1.731,7990,7766,7712,8078,8249,586,336,517.333,441,393,4032,0,2272
100014,16 32.82 0.09,36.7,AS636,Antlia,47,30308,272.43 19.13,149.1605,-38.8487,12.48,1.07,472,1.283,2907,2673,2605,3229,3257,502,282.667,210.667,712,584,1032,5066790,489
100433,15 36.72 0.13,221.3,,,5,972399,299.09 51.76,126.2317,-6.1139,13.14,10.03,843,2.289,15066,14939,14881,15409,16034,239,137.333,1197.333,0,0,2877,0,0
200305,15 36.69 0.13,218,AS542,,6,17867,254.78 -30.46,226.6112,-54.7252,13.19,8.26,883,2.397,14962,14747,14708,15031,15626,450,693.333,1373.333,0,0,3433,0,0
100135,15 36.51 0.11,200.7,A2040,,9,54213,8.78 51.35,118.3326,34.833,13.13,5.81,835,2.268,13458,13495,13466,13635,14124,496,493.333,1164,0,0,2742,0,2612
200758,15 36.27 0.11,179.3,A0168,,4,4500,135.66 -62.00,298.1023,-4.7792,12.68,5.09,563,1.531,13399,13471,13519,13082,13532,113,0,357.333,0,0,0,0,2052
200100,15 31.81 0.08,23,,,12,13419,218.45 -52.38,277.4896,-43.3629,11.78,1,255,0.691,1606,1500,1504,1492,1498,195,34.133,32.933,391,237,4587,5066705,849
200826,14 36.58 0.13,206.7,AS599,,6,19556,265.27 -22.39,207.7085,-50.1008,13.46,11.09,1094,2.971,15762,15527,15474,15884,16549,776,2053.333,2613.333,0,0,3710,0,0
200297,14 36.23 0.12,176.4,A2589,,6,71325,94.77 -40.89,308.2138,25.8791,12.79,4.27,621,1.685,12544,12728,12790,12180,12569,552,425.333,477.333,0,0,0,0,2933
200064,14 36.02 0.12,160.1,A3744,,14,3442281,21.19 -40.13,244.7863,37.6616,12.95,3.55,715,1.943,11339,11412,11414,11075,11397,669,821.333,730.667,0,0,3515,0,2862
100127,14 35.98 0.11,157,A1228,,10,34772,187.11 69.46,76.7117,-9.3859,12.75,2.97,597,1.62,10468,10460,10456,10747,11050,200,44.933,424,0,0,2735,0,2441
100067,14 35.91 0.13,152,,J16,31,54666,6.23 49.10,121.7222,34.987,13.28,3.3,954,2.591,11095,11126,11095,11271,11604,763,1720,1733.333,0,0,2659,0,2616
100025,14 35.48 0.12,124.9,,J22,23,59332,49.12 35.80,87.1154,60.4753,13.08,2.77,801,2.176,10367,10531,10543,10365,10647,449,514.667,1028,0,0,1996,0,2659
100052,14 35.36 0.13,118,,J13,16,95536,27.83 75.97,94.9385,19.511,12.7,2.24,575,1.561,8924,8962,8946,9159,9379,238,93.733,380,972,817,2561,0,2532
140002,14 31.87 0.08,23.7,,VirgoWp,8,40375,283.68 69.66,106.8814,-5.0736,11.43,1,186,0.507,1117,1040,1000,1457,1463,139,10.28,12.947,852,716,1,5066891,5
100223,13 36.81 0.14,230.5,,,7,516831,284.13 12.18,161.8046,-30.6205,13.6,15.39,1220,3.313,16340,16106,16032,16625,17354,1306,7306.667,3626.667,0,0,1598,0,0
200335,13 36.61 0.14,209.7,A0533,,6,812005,222.97 -33.74,277.8853,-62.28,13.05,6.93,781,2.121,14583,14430,14423,14583,15143,265,146.667,952,0,0,3355,0,2221
200102,13 36.19 0.12,173.1,A2657,,11,72297,96.23 -50.43,300.5739,19.3737,12.85,3.53,654,1.777,11702,11855,11911,11335,11672,838,1277.333,560,0,0,0,0,2936
200086,13 35.58 0.12,130.9,,J35,12,16315,217.54 -33.52,287.2488,-61.3165,12.68,2.22,563,1.531,9467,9328,9327,9456,9690,427,274.667,357.333,344,328,3911,0,2184
200082,13 35.26 0.14,112.8,,J33,13,11061,195.80 -58.42,288.9756,-32.4982,12.61,2.01,530,1.439,8833,8786,8808,8645,8841,246,123.067,297.333,204,177,3579,0,2101
200013,13 34.46 0.12,78.1,A0347,,54,9201,140.96 -17.18,343.2559,-5.2785,12.79,1.29,621,1.685,5728,5868,5940,5517,5597,656,866.667,477.333,229,141,4503,0,2081
100013,13 34.00 0.14,63,,,49,43924,303.99 49.38,129.3997,-3.7956,12.69,1.21,568,1.544,4403,4277,4216,4736,4796,329,216,366.667,883,732,1561,5066216,0
100015,13 33.88 0.12,59.6,,,39,43763,303.44 53.62,125.2081,-3.0578,12.51,1.19,487,1.323,4169,4054,3997,4505,4559,387,242.667,230.667,883,727,1561,0,0
101091,12 36.56 0.14,205.3,,,3,49355,319.55 32.99,147.3255,5.258,12.94,9.08,711,1.931,14839,14713,14645,15107,15708,151,0,717.333,0,0,2364,0,0
200089,12 36.51 0.14,200.6,A3376,,12,18204,245.88 -26.15,230.3844,-63.4545,13.25,6.01,931,2.529,13962,13749,13716,14051,14570,342,392,1613.333,0,0,3616,0,0
200355,12 36.47 0.14,196.3,AS911,,6,65686,357.78 -39.84,229.7948,25.0987,13.18,9.86,877,2.381,15050,15047,15026,14861,15442,193,50.4,1346.667,0,0,0,0,0
200885,12 36.10 0.13,166,,J32,3,6004,156.24 -69.06,290.2782,-12.5747,12.42,3.71,448,1.217,12069,12095,12131,11784,12148,427,0,180,0,0,3153,0,2063
200457,12 36.06 0.14,163.3,AS540,,5,17570,246.47 -30.31,235.5641,-60.0451,12.61,2.93,530,1.439,10876,10669,10638,10939,11253,241,116.933,297.333,0,0,3731,0,0
100094,12 35.95 0.11,154.8,A2052,,11,54526,9.67 50.10,119.0398,36.0813,12.85,2.9,653,1.775,10446,10486,10458,10616,10912,620,582.667,557.333,0,0,2433,0,2615
100119,12 35.75 0.14,141,,,10,29012,253.76 31.00,122.5658,-44.9465,12.56,2.41,505,1.372,9233,9028,8975,9584,9825,350,131.333,257.333,683,558,1755,0,0
200108,12 35.74 0.12,140.3,,,11,382,320.56 -65.19,245.1508,-4.4012,12.68,2.92,563,1.531,10579,10509,10493,10385,10668,386,225.333,357.333,0,0,3307,0,0
100033,12 35.72 0.12,139.1,A3570,,19,48624,314.20 23.33,156.4745,-0.3935,13.16,3.24,859,2.332,10932,10777,10704,11188,11516,620,1190.667,1264,0,0,1634,0,2555
200174,12 35.68 0.14,137,,,8,17130,227.70 -30.39,269.3139,-65.9262,12.54,2.54,498,1.352,10230,10060,10047,10262,10538,550,409.333,246.667,0,0,3905,0,0
100197,12 35.66 0.14,135.3,,,8,28483,252.50 28.85,123.2698,-47.317,12.63,2.45,539,1.464,9348,9139,9086,9694,9940,241,52.933,313.333,673,548,1749,0,0
200040,12 35.58 0.13,130.8,,J08,19,9462,150.47 -34.41,326.0482,-14.3674,12.85,2.21,654,1.777,9496,9586,9649,9258,9483,522,581.333,560,170,149,3839,0,2093
200091,12 35.54 0.14,128.4,A3372,,12,17981,240.33 -26.56,240.0717,-66.2947,12.61,2.47,530,1.439,9986,9783,9755,10064,10330,336,209.333,297.333,413,375,4036,0,0
200046,12 35.38 0.11,119,A0397,,18,11105,161.84 -37.20,322.0936,-23.2374,12.86,2.26,660,1.793,9652,9702,9756,9443,9677,553,476,574.667,214,0,0,0,2091
100037,12 34.93 0.12,97,AS761,,18,51107,325.94 31.65,148.9139,10.5938,12.62,1.63,532,1.445,6859,6751,6685,7103,7236,497,241.333,301.333,993,856,1555,0,2583
100032,12 34.52 0.12,80.2,,Zw74-23,20,50028,349.76 65.52,111.6881,18.713,12.42,1.5,449,1.22,6257,6249,6215,6516,6628,479,202.667,181.333,998,834,2269,0,2571
100029,12 34.51 0.14,79.7,AS639,,29,31755,280.63 11.16,161.9044,-34.1979,12.72,1.51,581,1.579,6248,6009,5936,6534,6646,504,418.667,392,732,595,1074,0,0
100030,12 34.20 0.09,69.2,,Cancer,21,23404,202.57 28.61,56.8481,-47.6802,12.31,1.25,406,1.101,4797,4707,4708,5033,5100,367,169.333,133.333,566,476,1433,0,2331
100128,12 30.63 0.10,13.3,,,15,42407,300.19 52.82,125.4327,-5.1509,12.28,1,397,1.077,1324,1202,1144,1666,1673,198,59.867,124.933,852,716,1152,5066904,31
201170,11 36.75 0.14,223.5,,J30,4,4624,149.82 -75.48,284.3676,-9.2254,13.04,9.16,774,2.103,15335,15357,15388,15042,15637,106,0,926.667,0,0,0,0,2062
200434,11 36.67 0.15,216,,,7,14787,241.86 -46.13,254.9077,-48.2759,13.21,8.56,899,2.443,15146,14983,14966,15105,15705,418,609.333,1453.333,0,0,3204,0,0
100079,11 36.52 0.15,201.3,,,12,46459,308.87 29.09,150.0801,-4.2913,13.5,9.06,1131,3.072,14813,14652,14579,15101,15701,679,1680,2893.333,0,0,2494,0,0
200175,11 36.27 0.15,179.3,AS794,,10,5061272,325.63 -17.40,198.3029,5.9259,12.89,5.2,678,1.841,12864,12735,12675,12893,13330,430,356,622.667,0,0,4153,0,0
200033,11 36.25 0.15,178.1,A2717,,25,72642,356.24 -75.69,258.894,2.7238,14.1,8.84,1788,4.857,15000,14991,14996,14729,15300,1582,17066.666,11426.667,0,0,3084,0,0
200555,11 36.17 0.15,171.2,AS560,,4,18246,267.48 -29.45,216.5207,-45.7288,12.52,3.15,489,1.328,11095,10872,10824,11173,11501,716,0,233.333,0,0,3725,0,0
100113,11 36.07 0.15,163.6,,,10,47195,313.34 37.28,142.5461,0.6354,13.26,6.15,939,2.549,13542,13407,13339,13838,14341,439,493.333,1653.333,937,0,2503,0,0
200074,11 35.75 0.13,141.3,A3733,,15,65980,17.29 -39.79,241.5015,36.1876,13.02,3.28,761,2.065,10948,11008,11006,10696,10996,962,2373.333,878.667,0,0,3426,0,2861
220014,11 35.70 0.13,137.8,,A0548N,12,17893,230.23 -24.54,261.7528,-71.578,13.06,3.47,790,2.145,11443,11258,11239,11514,11862,404,321.333,985.333,0,0,3728,0,2225
100511,11 35.51 0.13,126.5,A1177,,5,33836,220.50 66.26,87.1105,-17.2519,12.37,2.53,430,1.168,9538,9475,9455,9863,10118,87,6.6,158.667,0,0,2638,0,2451
100028,11 35.39 0.15,119.6,,,23,1118804,21.06 19.45,150.345,61.2555,12.77,2.07,612,1.663,8693,8790,8775,8679,8877,594,537.333,458.667,1189,986,1365,0,0
200032,11 34.47 0.13,78.4,A3656,,22,63976,2.02 -29.40,221.8707,33.6796,12.44,1.46,456,1.239,5892,5906,5883,5727,5813,386,193.333,189.333,1314,0,4202,0,2831
200099,11 32.75 0.09,35.5,,AS851A,12,64192,350.98 -32.74,220.0496,23.7774,12.04,1.07,320,0.869,2862,2835,2803,2724,2744,204,28.533,65.6,1324,1088,4593,5067020,1049
100073,11 32.19 0.08,27.4,,,13,53932,0.25 49.17,124.2726,31.7047,11.88,1.01,278,0.755,1624,1637,1602,1816,1825,280,55.333,42.8,852,886,1040,5066998,668
100219,11 31.79 0.08,22.8,,,8,37969,286.23 42.19,131.7887,-17.8758,11.71,1.01,239,0.649,1662,1490,1425,2017,2028,67,3.453,27.333,852,685,1141,5066854,409
100065,11 30.91 0.08,15.2,,,15,40692,189.58 82.96,85.6921,0.7438,11.59,1,216,0.587,820,821,809,1103,1106,264,46,20.133,852,699,1042,5066890,149
100122,11 30.36 0.06,11.8,,,11,32256,233.45 57.65,93.609,-25.8409,11.97,1,300,0.815,971,866,836,1318,1323,283,63.733,53.867,852,628,0,5066805,266
103177,10 37.78 0.13,360.4,A2295,,1,61083,99.54 29.95,33.4282,36.7559,13.95,44.15,1597,4.336,25227,25474,25528,25188,26830,0,0,8133.333,0,0,0,0,2683
202242,10 37.28 0.16,285.2,A0419,,2,11928,214.51 -58.39,278.4021,-36.9879,13.75,55.25,1367,3.713,20255,20169,20179,20103,21172,90,0,5106.667,0,0,0,0,2142
102582,10 35.95 0.16,155,,,2,24221,228.76 21.61,92.749,-62.0406,12.32,4.15,410,1.112,12032,11853,11824,12321,12720,55,0,137.333,0,0,1746,0,0
200055,10 35.92 0.15,152.4,AS929,,16,66219,24.62 -40.24,247.6993,38.9496,12.96,3.03,721,1.959,10564,10647,10652,10289,10567,746,1162.667,749.333,0,0,3512,0,0
200056,10 35.75 0.14,140.9,A2572,,15,70934,94.25 -38.81,309.849,27.4127,13.11,3.51,824,2.236,11668,11857,11920,11305,11640,657,832,1116,0,0,0,0,2931
100522,10 35.50 0.14,126.2,A1016,,5,30751,231.23 52.53,92.741,-31.0541,12.32,2.6,411,1.116,9677,9559,9530,10023,10286,57,0.724,138.667,715,0,2514,0,2414
200161,10 35.31 0.11,115.3,A2666,,9,72605,106.69 -33.72,320.0898,21.1453,12.35,1.87,421,1.144,8198,8391,8461,7854,8016,220,59.733,149.333,1531,1252,4002,0,2935
200158,10 34.97 0.15,98.7,,,9,10891,175.74 -51.18,303.9034,-28.2012,12.17,1.51,359,0.975,6910,6910,6948,6699,6817,262,71.467,92.533,205,0,3794,0,0
100050,10 34.69 0.15,86.8,,,20,35557,272.61 48.59,120.5191,-22.354,12.42,1.54,447,1.215,6325,6165,6109,6694,6812,356,180,178.667,798,650,1779,0,0
200045,10 34.35 0.14,74.1,,7S21,18,1351,113.91 -40.05,316.2235,13.4183,12.3,1.33,403,1.093,5769,5937,6005,5427,5505,274,65.333,130.533,24,17,4105,0,2011
200071,10 34.24 0.13,70.4,,P597-1,18,16420,199.48 -24.96,322.0197,-57.4475,12.01,1.13,312,0.847,4450,4361,4380,4429,4481,338,144,60.533,351,330,0,0,2185
100039,10 32.77 0.10,35.7,,,18,49514,83.76 71.57,78.4168,20.9384,12.07,1.03,328,0.892,2442,2528,2533,2627,2645,160,28.933,70.8,962,812,1341,5066961,725
101312,10 28.27 0.06,4.5,,,3,48082,314.60 31.91,147.9975,0.9956,11.49,1,197,0.535,463,321,251,743,744,57,0,15.2,391,793,1038,5066953,231
201061,9 36.93 0.13,243.2,A0114,,3,826285,123.29 -84.49,275.3675,-4.9557,13.3,18.99,968,2.629,17320,17332,17354,17026,17790,174,0,1813.333,0,0,2990,0,2021
200859,9 36.89 0.17,238.7,,,3,67223,48.58 -41.00,271.2515,42.6712,13.04,11.4,774,2.103,15617,15760,15789,15284,15899,571,0,926.667,0,0,0,0,0
200318,9 36.73 0.13,222,A2457,,6,87323,68.82 -46.09,287.8633,34.2125,13.61,23.35,1227,3.333,17705,17865,17910,17341,18134,352,469.333,3693.333,0,0,0,0,2891
200179,9 36.67 0.17,215.7,,,8,62674,347.67 -21.53,207.4124,25.2151,13.25,9.66,931,2.529,14893,14851,14809,14817,15395,417,314.667,1613.333,0,0,3928,0,0
200325,9 36.41 0.17,191.7,,,6,17443,240.89 -30.58,244.0563,-62.6233,12.89,6.37,678,1.841,14200,14003,13977,14255,14789,308,26.667,622.667,0,0,3534,0,0
200267,9 36.29 0.17,181.4,,,7,8498,168.89 -61.98,295.2247,-19.9602,12.89,4.52,678,1.841,12986,12997,13034,12731,13157,189,3.787,622.667,0,0,3149,0,0
100066,9 36.25 0.17,177.6,,,13,4683777,291.08 9.82,166.1648,-24.5227,13.66,9.1,1272,3.453,14850,14624,14548,15114,15715,832,3066.667,4106.667,0,0,0,0,0
200218,9 36.21 0.17,174.2,,,7,211,317.61 -61.47,241.3354,-5.4383,12.52,2.84,489,1.328,10418,10334,10313,10245,10520,635,832,233.333,5,0,3377,0,0
200145,9 35.81 0.17,145.2,,,9,11443,191.19 -55.55,293.4706,-33.0024,12.47,2.28,468,1.272,9623,9583,9609,9436,9669,507,302.667,205.333,0,0,3485,0,0
200342,9 35.80 0.17,144.8,,,6,17464,234.72 -29.05,253.9001,-66.2424,12.58,2.81,516,1.401,10732,10544,10523,10786,11091,231,38.267,274.667,0,0,3882,0,0
200127,9 35.75 0.16,141.4,A0076,,10,2372,117.66 -55.91,302.0214,5.5492,12.9,3.47,684,1.859,11730,11846,11901,11386,11726,396,244,640,0,0,3233,0,2012
100118,9 35.74 0.16,140.6,,,10,27441,253.31 23.24,129.7597,-51.0687,12.68,2.72,564,1.532,9942,9721,9667,10274,10551,361,224,358.667,0,0,1611,0,0
100117,9 35.70 0.17,138.3,,,10,48646,319.43 41.36,138.9303,5.7087,12.72,2.72,586,1.591,9989,9878,9815,10278,10555,385,102.933,401.333,958,804,2201,0,0
200233,9 35.54 0.17,128.2,,,7,10308,182.83 -57.23,295.5856,-28.4274,12.38,2.14,432,1.173,9226,9207,9238,9013,9226,340,150.667,161.333,190,166,3491,0,0
100419,9 35.53 0.17,127.9,,J17,5,56373,66.46 49.94,73.12,43.5319,12.37,2.68,430,1.168,10142,10298,10316,10202,10475,290,113.6,158.667,0,0,2344,0,2601
200067,9 35.53 0.17,127.6,,,14,15655,198.28 -30.69,314.5583,-53.427,12.64,2.07,544,1.477,9115,9035,9055,9061,9276,384,232,321.333,316,300,3933,0,0
100183,9 35.48 0.17,124.5,,,8,56941,8.79 35.03,135.6014,44.3792,12.49,2.31,476,1.293,9238,9283,9252,9346,9575,323,120.4,216,1114,922,1838,0,0
100142,9 35.38 0.15,119.3,,J14-1,12,52638,8.58 58.97,111.7982,29.5816,12.64,2.21,543,1.475,8864,8895,8868,9069,9285,317,200,320,1032,877,2294,0,2576
